Name,Acceleration,TopSpeed,Range,Efficiency,FastChargeSpeed,Drive,NumberofSeats,PriceinGermany,PriceinUK
Nissan Ariya e-4ORCE 87kWh Performance,5.1,200 km/h,385 km,226 Wh/km,460 km/h,All Wheel Drive,5,"65,000","57,500"
Volkswagen ID.3 Pro Performance,7.3,160 km/h,350 km,166 Wh/km,440 km/h,Rear Wheel Drive,5,"36,495","29,740"
MG MG5 EV,7.7,185 km/h,295 km,165 Wh/km,340 km/h,Front Wheel Drive,5,N/A,"25,095"
Volkswagen ID.4 Pro Performance,8.5,160 km/h,410 km,188 Wh/km,500 km/h,Rear Wheel Drive,5,"44,450","41,570"
Mercedes EQV 300 Extra-Long,12.1,160 km/h,320 km,281 Wh/km,280 km/h,Front Wheel Drive,7,"72,281",N/A
Lucid Air Grand Touring,3.2,270 km/h,660 km,167 Wh/km,1380 km/h,All Wheel Drive,5,"1,40,000","1,25,000"
Lucid Air Touring,3.4,250 km/h,530 km,160 Wh/km,1390 km/h,All Wheel Drive,5,"95,000","90,000"
Lucid Air Pure,4.2,200 km/h,540 km,157 Wh/km,1410 km/h,Rear Wheel Drive,5,"80,000","70,000"
Dacia Spring Electric,15,125 km/h,170 km,158 Wh/km,120 km/h,Front Wheel Drive,4,"20,490",N/A
Tesla Model 3 Standard Range Plus LFP,5.6,225 km/h,340 km,150 Wh/km,570 km/h,Rear Wheel Drive,5,"43,560","40,990"
Tesla Model 3 Long Range Dual Motor,4.4,233 km/h,455 km,154 Wh/km,570 km/h,All Wheel Drive,5,N/A,"48,490"
Tesla Model 3 Performance,3.3,261 km/h,470 km,162 Wh/km,790 km/h,All Wheel Drive,5,"58,560","59,990"
Fiat 500e Hatchback 24 kWh,9.5,135 km/h,165 km,144 Wh/km,260 km/h,Front Wheel Drive,4,"23,560","20,495"
Fiat 500e 3+1,9,150 km/h,245 km,152 Wh/km,410 km/h,Front Wheel Drive,4,"29,560",N/A
Mercedes EQC 400 4MATIC,5.1,180 km/h,370 km,216 Wh/km,440 km/h,All Wheel Drive,5,"66,069","65,720"
Kia e-Niro 64 kWh,7.8,167 km/h,370 km,173 Wh/km,350 km/h,Front Wheel Drive,5,"39,090","32,445"
Kia e-Niro 39 kWh,9.8,155 km/h,235 km,167 Wh/km,230 km/h,Front Wheel Drive,5,"35,290","30,345"
Citroen e-SpaceTourer XS 50 kWh,12.1,130 km/h,185 km,243 Wh/km,250 km/h,Front Wheel Drive,7,"50,880",N/A
Citroen e-SpaceTourer M 50 kWh,12.1,130 km/h,185 km,243 Wh/km,250 km/h,Front Wheel Drive,7,"51,440","31,995"
Citroen e-SpaceTourer XL 50 kWh,12.1,130 km/h,180 km,250 Wh/km,240 km/h,Front Wheel Drive,7,"52,230",N/A
Citroen e-SpaceTourer M 75 kWh,13.3,130 km/h,270 km,252 Wh/km,290 km/h,Front Wheel Drive,7,"57,440",N/A
Citroen e-SpaceTourer XL 75 kWh,13.3,130 km/h,270 km,252 Wh/km,290 km/h,Front Wheel Drive,7,"58,230",N/A
Opel Zafira-e Life S 50 kWh,12.1,130 km/h,185 km,243 Wh/km,250 km/h,Front Wheel Drive,7,"56,700",N/A
Opel Zafira-e Life M 50 kWh,12.1,130 km/h,185 km,243 Wh/km,250 km/h,Front Wheel Drive,7,"53,800",N/A
Opel Zafira-e Life L 50 kWh,12.1,130 km/h,180 km,250 Wh/km,240 km/h,Front Wheel Drive,7,"54,625","49,465"
Opel Zafira-e Life M 75 kWh,13.3,130 km/h,270 km,252 Wh/km,290 km/h,Front Wheel Drive,7,"59,800",N/A
Opel Zafira-e Life L 75 kWh,13.3,130 km/h,270 km,252 Wh/km,290 km/h,Front Wheel Drive,7,"60,625",N/A
Peugeot e-Traveller Compact 50 kWh,12.1,130 km/h,185 km,243 Wh/km,250 km/h,Front Wheel Drive,7,"50,880",N/A
Peugeot e-Traveller Standard 50 kWh,13.1,130 km/h,185 km,243 Wh/km,250 km/h,Front Wheel Drive,7,"55,900","49,065"
Peugeot e-Traveller Long 50 kWh,13.1,130 km/h,185 km,243 Wh/km,250 km/h,Front Wheel Drive,7,"56,690","49,905"
Peugeot e-Traveller Standard 75 kWh,13.3,130 km/h,270 km,252 Wh/km,290 km/h,Front Wheel Drive,7,"57,440",N/A
Peugeot e-Traveller Long 75 kWh,13.3,130 km/h,270 km,252 Wh/km,290 km/h,Front Wheel Drive,7,"58,230",N/A
Audi e-tron 55 quattro,5.7,200 km/h,365 km,237 Wh/km,590 km/h,All Wheel Drive,5,"81,500",N/A
Audi e-tron Sportback 55 quattro,5.7,200 km/h,375 km,231 Wh/km,600 km/h,All Wheel Drive,5,"83,750",N/A
Seres 3 ,8.9,155 km/h,270 km,193 Wh/km,390 km/h,Front Wheel Drive,5,N/A,N/A
Hyundai IONIQ 5 Project 45,5.2,185 km/h,370 km,196 Wh/km,860 km/h,All Wheel Drive,5,"59,550","48,000"
Porsche Taycan ,5.4,230 km/h,395 km,180 Wh/km,790 km/h,Rear Wheel Drive,4,"83,520","70,690"
Porsche Taycan Plus,5.4,230 km/h,460 km,182 Wh/km,960 km/h,Rear Wheel Drive,4,"89,244","74,739"
Tesla Model S Long Range,3.2,250 km/h,555 km,162 Wh/km,830 km/h,All Wheel Drive,5,"86,990","83,980"
Tesla Model S Plaid,2.1,322 km/h,535 km,168 Wh/km,800 km/h,All Wheel Drive,5,"1,26,990","1,18,980"
Tesla Model X Long Range,3.9,250 km/h,475 km,189 Wh/km,710 km/h,All Wheel Drive,7,"95,990","90,980"
Tesla Model X Plaid,2.6,262 km/h,455 km,198 Wh/km,680 km/h,All Wheel Drive,7,"1,16,990","1,10,980"
Mini Cooper SE ,7.3,150 km/h,185 km,156 Wh/km,260 km/h,Front Wheel Drive,4,"32,500","26,000"
JAC iEV7s ,12,132 km/h,225 km,173 Wh/km,160 km/h,Front Wheel Drive,5,N/A,N/A
Volkswagen ID.4 Pure Performance,9,160 km/h,285 km,182 Wh/km,410 km/h,Rear Wheel Drive,5,"38,450","36,030"
Audi e-tron GT quattro,4.1,245 km/h,420 km,202 Wh/km,840 km/h,All Wheel Drive,4,"99,800","79,900"
Volvo C40 Recharge,4.7,180 km/h,340 km,221 Wh/km,440 km/h,All Wheel Drive,5,"62,050","57,400"
Hyundai Kona Electric 39 kWh,9.9,155 km/h,250 km,157 Wh/km,210 km/h,Front Wheel Drive,5,"35,650","27,950"
Hyundai Kona Electric 64 kWh,7.9,167 km/h,395 km,162 Wh/km,370 km/h,Front Wheel Drive,5,"41,850","32,550"
Porsche Taycan 4S Cross Turismo,4.1,240 km/h,405 km,207 Wh/km,850 km/h,All Wheel Drive,4,"1,11,842","87,820"
Porsche Taycan Turbo Cross Turismo,3.3,250 km/h,385 km,217 Wh/km,800 km/h,All Wheel Drive,4,"1,54,444","1,16,950"
Porsche Taycan Turbo S Cross Turismo,2.9,250 km/h,380 km,220 Wh/km,790 km/h,All Wheel Drive,4,"1,87,746","1,39,910"
Kia EV6 GT,3.5,260 km/h,395 km,196 Wh/km,920 km/h,All Wheel Drive,5,"65,990","58,295"
BMW iX xDrive40,6.1,200 km/h,350 km,203 Wh/km,470 km/h,All Wheel Drive,5,"77,300","69,905"
BMW iX xDrive50,4.6,200 km/h,505 km,208 Wh/km,620 km/h,All Wheel Drive,5,"98,000","91,905"
MG MG5 Electric,8.3,180 km/h,340 km,168 Wh/km,440 km/h,Front Wheel Drive,5,"35,000",N/A
MG Marvel R Performance,4.9,200 km/h,330 km,197 Wh/km,380 km/h,All Wheel Drive,5,"50,000",N/A
Hyundai IONIQ 5 Standard Range 2WD,8.5,185 km/h,310 km,187 Wh/km,720 km/h,Rear Wheel Drive,5,"41,900","36,995"
Hyundai IONIQ 5 Standard Range AWD,6.1,185 km/h,305 km,190 Wh/km,710 km/h,All Wheel Drive,5,"45,700",N/A
Hyundai IONIQ 5 Long Range 2WD,7.4,185 km/h,385 km,189 Wh/km,890 km/h,Rear Wheel Drive,5,"45,100","41,945"
Hyundai IONIQ 5 Long Range AWD,5.2,185 km/h,375 km,194 Wh/km,870 km/h,All Wheel Drive,5,"48,900","45,145"
Kia EV6 Standard Range 2WD,8.5,185 km/h,320 km,181 Wh/km,740 km/h,Rear Wheel Drive,5,"44,990","40,985"
Kia EV6 Long Range 2WD,7.5,185 km/h,420 km,184 Wh/km,980 km/h,Rear Wheel Drive,5,"54,990","48,000"
Kia EV6 Long Range AWD,5.4,185 km/h,410 km,189 Wh/km,950 km/h,All Wheel Drive,5,"56,000","52,000"
Mercedes EQS 450+,6.2,210 km/h,640 km,168 Wh/km,840 km/h,Rear Wheel Drive,5,"1,06,374","95,000"
Mercedes EQS 580 4MATIC,4.3,210 km/h,610 km,177 Wh/km,800 km/h,All Wheel Drive,5,"1,35,529","1,15,000"
Tesla Model 3 Standard Range Plus,5.6,225 km/h,340 km,147 Wh/km,680 km/h,Rear Wheel Drive,5,"43,560","40,990"
Polestar 2 Standard Range Single Motor,7.4,160 km/h,350 km,174 Wh/km,450 km/h,Front Wheel Drive,5,"46,500","39,900"
Polestar 2 Long Range Single Motor,7.4,160 km/h,425 km,176 Wh/km,550 km/h,Front Wheel Drive,5,"49,500","42,900"
Polestar 2 Long Range Dual Motor,4.7,205 km/h,395 km,190 Wh/km,510 km/h,All Wheel Drive,5,"52,500","45,900"
Volkswagen ID.4 Pure,10.9,160 km/h,285 km,182 Wh/km,410 km/h,Rear Wheel Drive,5,"36,950","32,150"
Audi Q4 e-tron 40,8.5,160 km/h,405 km,189 Wh/km,500 km/h,Rear Wheel Drive,5,"47,500","44,990"
Audi Q4 e-tron 50 quattro,6.2,180 km/h,385 km,199 Wh/km,470 km/h,All Wheel Drive,5,"53,600","51,370"
Audi Q4 Sportback e-tron 50 quattro,6.2,180 km/h,400 km,192 Wh/km,490 km/h,All Wheel Drive,5,"55,600","52,870"
Mercedes EQB 350 4MATIC,6.5,160 km/h,340 km,196 Wh/km,400 km/h,All Wheel Drive,7,"60,000","50,000"
Volkswagen ID.4 GTX,6.2,180 km/h,400 km,193 Wh/km,490 km/h,All Wheel Drive,5,"50,415","55,540"
Mercedes EQA 300 4MATIC,7.7,160 km/h,350 km,190 Wh/km,420 km/h,All Wheel Drive,5,"53,538",N/A
Mercedes EQA 350 4MATIC,6,160 km/h,350 km,190 Wh/km,420 km/h,All Wheel Drive,5,"56,216",N/A
Toyota PROACE Verso M 50 kWh,12.1,130 km/h,185 km,243 Wh/km,250 km/h,Front Wheel Drive,7,"58,530",N/A
Toyota PROACE Verso L 50 kWh,12.1,130 km/h,180 km,250 Wh/km,240 km/h,Front Wheel Drive,7,"59,385",N/A
Toyota PROACE Verso M 75 kWh,13.1,130 km/h,270 km,252 Wh/km,290 km/h,Front Wheel Drive,7,"64,530",N/A
Toyota PROACE Verso L 75 kWh,13.1,130 km/h,270 km,252 Wh/km,290 km/h,Front Wheel Drive,7,"65,385",N/A
CUPRA Born 150 kW - 62 kWh,7.3,160 km/h,350 km,166 Wh/km,440 km/h,Rear Wheel Drive,5,"36,770","30,500"
CUPRA Born 170 kW - 62 kWh,6.6,160 km/h,345 km,168 Wh/km,430 km/h,Rear Wheel Drive,5,"39,000","31,500"
CUPRA Born 170 kW - 82 kWh,7,160 km/h,450 km,171 Wh/km,550 km/h,Rear Wheel Drive,5,"43,000","42,000"
BMW i4 M50,3.9,225 km/h,450 km,179 Wh/km,630 km/h,All Wheel Drive,5,"69,900","63,905"
Volvo XC40 Recharge Twin Pure Electric,4.9,180 km/h,340 km,221 Wh/km,440 km/h,All Wheel Drive,5,"59,250","49,950"
Renault Megane E-Tech Electric,8,160 km/h,335 km,179 Wh/km,480 km/h,Front Wheel Drive,5,"38,000","32,500"
Peugeot e-Rifter Standard 50 kWh,11.7,135 km/h,200 km,225 Wh/km,270 km/h,Front Wheel Drive,7,"37,590","30,375"
Peugeot e-Rifter Long 50 kWh,11.7,135 km/h,195 km,231 Wh/km,260 km/h,Front Wheel Drive,7,"42,590","32,455"
MG Marvel R ,7.9,200 km/h,340 km,191 Wh/km,390 km/h,Rear Wheel Drive,5,"40,000",N/A
Tesla Model 3 Long Range Dual Motor,4.4,233 km/h,490 km,155 Wh/km,820 km/h,All Wheel Drive,5,"53,560",N/A
MG MG5 EV Long Range,7.7,185 km/h,340 km,168 Wh/km,340 km/h,Front Wheel Drive,5,N/A,"26,495"
Audi Q4 e-tron 45 quattro,6.9,180 km/h,385 km,199 Wh/km,470 km/h,All Wheel Drive,5,"50,900",N/A
Audi Q4 Sportback e-tron 40,8.5,160 km/h,425 km,180 Wh/km,520 km/h,Rear Wheel Drive,5,"49,500",N/A
